x-------- [0] [4] [4] [0] [4] [5] [0] [0] [4] 
----x---- [7] [4] [0] [0] [0] [0] [0] [0] [0] 
-x------- [1] [0] [0] [4] [8] [0] [1] [1] [0] 
o---x---x [0] [3] [6] [0] [0] [3] [0] [0] [0] 
o-x-x---- [0] [3] [0] [3] [0] [3] [3] [3] [3] 
x-x-o---- [0] [6] [0] [3] [0] [0] [3] [3] [0] 
-x--o--x- [6] [0] [0] [3] [0] [0] [0] [0] [0] 
-o--x--x- [3] [0] [0] [3] [0] [0] [3] [0] [0] 
-x-ox---- [3] [0] [3] [0] [0] [3] [3] [3] [3] 
o---xx--- [0] [3] [3] [3] [0] [0] [3] [3] [3] 
xx----o-- [0] [0] [3] [3] [3] [3] [0] [3] [3] 
x-o---x-- [0] [3] [0] [3] [3] [3] [0] [3] [3] 
-xx----o- [3] [0] [0] [0] [3] [3] [3] [0] [3] 
-x---xo-- [3] [0] [3] [3] [0] [0] [0] [0] [0] 
-----ox-x [3] [3] [3] [3] [3] [0] [0] [4] [0] 
x--xo---- [0] [3] [3] [0] [0] [0] [3] [3] [3] 
----ox-x- [3] [3] [3] [0] [0] [0] [0] [0] [4] 
ox------x [0] [0] [3] [3] [3] [3] [0] [3] [0] 
ox--o-xx- [0] [0] [2] [2] [0] [2] [0] [0] [5] 
oxx-x---o [0] [0] [0] [2] [0] [2] [2] [2] [0] 
xoo-x-x-- [0] [0] [0] [2] [0] [2] [0] [2] [2] 
-oxox--x- [2] [0] [0] [0] [0] [2] [2] [0] [2] 
o-oxx---x [0] [2] [0] [0] [0] [2] [5] [2] [0] 
-xx-oxo-- [0] [0] [0] [2] [0] [0] [0] [0] [0] 
xox-o-x-- [0] [0] [0] [2] [0] [2] [0] [5] [2] 
---x-oxox [2] [2] [3] [0] [2] [0] [0] [0] [0] 
o-x-xxo-- [0] [2] [0] [2] [0] [0] [0] [2] [2] 
-ox-x-ox- [2] [0] [0] [2] [0] [2] [0] [0] [2] 
x---ox-xo [0] [2] [3] [0] [0] [0] [0] [0] [0] 
ox--xx-o- [0] [0] [2] [2] [0] [0] [2] [0] [2] 
ox-x--o-x [0] [0] [2] [0] [2] [0] [0] [2] [0] 
-xox-oxox [1] [0] [0] [0] [1] [0] [0] [0] [0] 
xoxox-ox- [0] [0] [0] [0] [0] [1] [0] [0] [1] 
xox-x-oxo [0] [0] [0] [1] [0] [0] [0] [0] [0] 
oxxxoxo-- [0] [0] [0] [0] [0] [0] [0] [1] [1] 
xxo-ox-xo [0] [0] [0] [1] [0] [0] [1] [0] [0] 
o-oxx-oxx [0] [1] [0] [0] [0] [1] [0] [0] [0] 
oxo-xx-ox [0] [0] [0] [1] [0] [0] [1] [0] [0] 
ox-x-ooxx [0] [0] [1] [0] [1] [0] [0] [0] [0] 
