-x-------------- [7] [0] [7] [7] [7] [4] [8] [7] [10] [7] [7] [7] [10] [7] [4] [7] 
-----x---------- [13] [10] [7] [7] [0] [0] [4] [10] [0] [0] [7] [7] [0] [0] [0] [7] 
x--------------- [0] [7] [4] [7] [0] [7] [7] [7] [0] [0] [8] [7] [0] [0] [0] [7] 
o----x-x-------- [0] [6] [6] [6] [6] [0] [6] [0] [6] [9] [6] [6] [6] [6] [6] [6] 
-----x-o--x----- [6] [6] [6] [6] [6] [0] [6] [0] [6] [6] [0] [6] [6] [6] [9] [6] 
x--o-x---------- [0] [6] [6] [0] [6] [0] [6] [6] [6] [6] [6] [6] [6] [6] [6] [6] 
-xo--x---------- [6] [0] [0] [6] [6] [0] [6] [6] [6] [6] [6] [6] [6] [6] [6] [6] 
-x---x---o------ [6] [0] [6] [6] [6] [0] [6] [6] [6] [0] [6] [6] [6] [6] [6] [6] 
xo--x----------- [0] [0] [6] [6] [0] [6] [6] [6] [6] [6] [6] [6] [6] [6] [6] [6] 
-x--x-o--------- [6] [0] [6] [6] [0] [6] [0] [6] [6] [6] [6] [6] [6] [6] [6] [6] 
-----xx--------o [6] [6] [6] [6] [6] [0] [0] [6] [6] [6] [6] [6] [6] [6] [6] [0] 
-o-x-x---------- [6] [0] [6] [0] [6] [0] [6] [6] [6] [9] [6] [6] [6] [6] [6] [6] 
x-o-x----------- [0] [6] [0] [6] [0] [6] [6] [6] [6] [6] [6] [6] [6] [6] [6] [6] 
-x---------xo--- [9] [0] [6] [6] [6] [6] [6] [0] [6] [6] [0] [0] [0] [0] [0] [0] 
----o------x---x [6] [6] [6] [6] [0] [6] [3] [6] [6] [6] [6] [0] [6] [6] [6] [0] 
x-o--x---------- [0] [6] [0] [6] [6] [0] [6] [6] [6] [6] [6] [6] [3] [6] [6] [6] 
-----x---o---x-- [6] [6] [6] [6] [6] [0] [6] [6] [3] [0] [6] [6] [6] [0] [6] [6] 
-----ox-x------- [6] [6] [6] [6] [3] [0] [0] [6] [0] [6] [6] [6] [6] [6] [7] [6] 
------o----xx--- [6] [6] [6] [6] [6] [6] [0] [6] [7] [6] [6] [0] [0] [6] [6] [6] 
x----o---------x [0] [6] [6] [6] [0] [0] [6] [6] [0] [0] [6] [6] [0] [0] [0] [0] 
-xo-------x----- [6] [0] [0] [6] [6] [6] [6] [6] [6] [6] [0] [6] [6] [6] [6] [6] 
-x------o--x---- [6] [0] [6] [6] [6] [6] [9] [6] [0] [6] [6] [0] [6] [6] [6] [6] 
x----o-----x---- [0] [6] [6] [6] [6] [0] [6] [6] [6] [6] [6] [0] [6] [6] [6] [6] 
-----x-----ox--- [6] [6] [6] [6] [6] [0] [6] [6] [6] [6] [6] [0] [0] [6] [6] [6] 
-xx----o-------- [6] [0] [0] [6] [6] [6] [6] [0] [6] [6] [6] [6] [6] [6] [6] [6] 
o--x-x---------- [0] [6] [6] [0] [9] [0] [6] [6] [6] [6] [6] [6] [6] [6] [6] [6] 
----o-ox---x---x [2] [5] [5] [5] [0] [5] [0] [0] [5] [5] [5] [0] [5] [5] [5] [0] 
x--o-x--------ox [0] [5] [5] [0] [5] [0] [5] [5] [5] [5] [5] [5] [5] [5] [0] [0] 
x-o--x------ox-- [0] [5] [0] [5] [5] [0] [5] [5] [5] [5] [5] [5] [0] [0] [5] [2] 
xx--x-o-o------- [0] [0] [5] [5] [0] [5] [0] [5] [0] [5] [5] [5] [5] [5] [5] [5] 
----xx--oo---x-- [5] [5] [5] [5] [0] [0] [5] [2] [0] [0] [5] [5] [5] [0] [5] [5] 
-x-x-x---oo----- [5] [0] [5] [0] [5] [0] [5] [5] [5] [0] [0] [5] [5] [5] [5] [5] 
----oox-x--x---- [5] [5] [5] [5] [0] [0] [0] [5] [0] [5] [2] [0] [5] [5] [5] [5] 
-xo-x----ox----- [5] [0] [0] [5] [0] [5] [5] [5] [5] [0] [0] [5] [5] [5] [5] [6] 
----oxx--x-----o [5] [5] [5] [5] [0] [0] [0] [5] [5] [0] [5] [5] [5] [5] [5] [0] 
---x--o-o--xx--- [6] [5] [5] [0] [5] [5] [0] [5] [0] [5] [5] [0] [0] [5] [5] [5] 
-x--xoo-----x--- [5] [0] [5] [5] [0] [0] [0] [5] [5] [5] [5] [5] [0] [5] [5] [5] 
-o-o-x--xx------ [5] [0] [5] [0] [5] [0] [5] [5] [0] [0] [5] [5] [5] [5] [5] [5] 
-xo--x------o--x [5] [0] [0] [5] [5] [0] [5] [5] [5] [5] [5] [5] [0] [5] [5] [0] 
x----oox-------x [0] [5] [5] [5] [5] [0] [0] [0] [5] [5] [5] [5] [5] [5] [5] [0] 
xxx-o------o---- [0] [0] [0] [5] [0] [5] [5] [5] [5] [5] [5] [0] [5] [5] [5] [5] 
xo-x-x---o------ [0] [0] [5] [0] [5] [0] [8] [5] [5] [0] [5] [5] [5] [5] [5] [5] 
-xoo------x--x-- [5] [0] [0] [0] [5] [5] [5] [5] [5] [5] [0] [5] [5] [0] [5] [5] 
---x-x-o--x---o- [5] [5] [5] [0] [5] [0] [5] [0] [8] [5] [0] [5] [5] [5] [0] [5] 
-xx---o-o--x---- [5] [0] [0] [5] [5] [5] [0] [5] [0] [5] [5] [0] [8] [5] [5] [5] 
x-oxx-------o--- [0] [5] [0] [0] [0] [5] [5] [5] [5] [5] [5] [5] [0] [5] [5] [5] 
x----ox----xo--- [0] [5] [5] [5] [5] [0] [0] [5] [5] [5] [5] [0] [0] [5] [5] [5] 
ox---x-x-o------ [0] [0] [5] [5] [5] [0] [5] [0] [5] [0] [5] [5] [5] [8] [5] [5] 
---o-x-----oxx-- [5] [5] [5] [0] [5] [0] [5] [5] [5] [5] [5] [0] [0] [0] [5] [5] 
ox----x----xo--- [0] [0] [5] [5] [5] [5] [0] [5] [5] [5] [5] [0] [0] [8] [5] [5] 
-xx----o---o--x- [5] [0] [0] [5] [5] [5] [5] [0] [5] [5] [5] [0] [5] [5] [0] [5] 
xo--x-------xo-- [0] [0] [5] [5] [0] [5] [5] [5] [5] [5] [5] [5] [0] [0] [5] [5] 
ox-xox---------- [0] [0] [5] [0] [0] [0] [5] [5] [5] [5] [5] [5] [8] [5] [5] [5] 
-x--xoo---o-x-x- [4] [0] [4] [4] [0] [0] [0] [4] [4] [4] [0] [4] [0] [4] [0] [4] 
